epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,16620.2,0.80219,0.50835,1.25932,0.90525,0.88213,0.90139,0.71601,0.83646,0.4769,1.38053,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,16800.3,0.80483,0.49894,1.26453,0.90248,0.88267,0.89858,0.71341,0.83646,0.47948,1.37877,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,16980.4,0.80243,0.50906,1.25772,0.89045,0.89329,0.89991,0.71272,0.83893,0.48368,1.37923,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,17160.5,0.79907,0.49193,1.25199,0.88972,0.89633,0.89822,0.71223,0.84274,0.48609,1.38506,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,17340.7,0.79775,0.493,1.25595,0.89008,0.89308,0.89702,0.7128,0.84172,0.49222,1.38299,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,17520.8,0.7989,0.50317,1.26045,0.88613,0.89289,0.89708,0.71196,0.84177,0.48753,1.38503,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,17701.1,0.78763,0.49486,1.25199,0.88759,0.89288,0.89433,0.71012,0.84141,0.49003,1.38493,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,17881.2,0.78793,0.4883,1.25004,0.90353,0.87538,0.89658,0.71195,0.84047,0.49073,1.38645,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,18061.3,0.79035,0.48737,1.24336,0.90786,0.87605,0.89833,0.71413,0.83966,0.48965,1.38511,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,18241.4,0.7863,0.49324,1.2553,0.89245,0.88755,0.89772,0.71211,0.83952,0.4905,1.38386,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,18421.5,0.78309,0.47732,1.24504,0.89781,0.88698,0.89836,0.71311,0.83875,0.48933,1.38343,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,18601.5,0.78507,0.48852,1.24436,0.89784,0.88576,0.8975,0.71342,0.83743,0.49027,1.3828,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,18781.5,0.77339,0.47573,1.23694,0.90744,0.87651,0.89639,0.7121,0.8373,0.49554,1.38204,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
