epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,10105.6,0.92951,1.34673,1.27817,0.90219,0.87102,0.90463,0.69807,0.89331,0.97548,1.36142,0.0226573,0.00755245,0.0226573,0.00755245,0.0226573,0.00755245,0.0226573,0.00755245
51,10306.8,0.9247,1.31151,1.2709,0.89371,0.87643,0.90449,0.70079,0.87587,0.99573,1.35259,0.0225075,0.0075025,0.0225075,0.0075025,0.0225075,0.0075025,0.0225075,0.0075025
52,10508.2,0.92351,1.31184,1.26906,0.88985,0.8895,0.91144,0.70439,0.88273,0.97581,1.34672,0.0223576,0.00745255,0.0223576,0.00745255,0.0223576,0.00745255,0.0223576,0.00745255
53,10709.6,0.92285,1.30574,1.27027,0.89182,0.88501,0.90872,0.70502,0.87231,0.97752,1.34263,0.0222078,0.0074026,0.0222078,0.0074026,0.0222078,0.0074026,0.0222078,0.0074026
54,10910.7,0.91829,1.29635,1.27341,0.89861,0.89047,0.90866,0.69682,0.89701,0.97517,1.34507,0.0220579,0.00735265,0.0220579,0.00735265,0.0220579,0.00735265,0.0220579,0.00735265
55,11111.9,0.91489,1.26369,1.26778,0.89015,0.88096,0.90554,0.70229,0.88095,0.97631,1.345,0.0219081,0.0073027,0.0219081,0.0073027,0.0219081,0.0073027,0.0219081,0.0073027
56,11312.9,0.91289,1.29416,1.26591,0.90112,0.87973,0.90779,0.69892,0.88906,0.96367,1.34613,0.0217582,0.00725275,0.0217582,0.00725275,0.0217582,0.00725275,0.0217582,0.00725275
57,11513.9,0.90684,1.28315,1.26839,0.89588,0.88275,0.90904,0.70138,0.87638,0.96018,1.34756,0.0216084,0.0072028,0.0216084,0.0072028,0.0216084,0.0072028,0.0216084,0.0072028
58,11714.9,0.90941,1.24246,1.26528,0.88792,0.883,0.90743,0.7026,0.88406,0.96801,1.35038,0.0214585,0.00715285,0.0214585,0.00715285,0.0214585,0.00715285,0.0214585,0.00715285
59,11916.3,0.89075,1.24069,1.26413,0.91087,0.87631,0.911,0.70658,0.88051,0.95324,1.34966,0.0213087,0.0071029,0.0213087,0.0071029,0.0213087,0.0071029,0.0213087,0.0071029
60,12117.6,0.90029,1.25063,1.25197,0.90278,0.87831,0.90647,0.70609,0.87484,0.95941,1.34333,0.0211589,0.00705295,0.0211589,0.00705295,0.0211589,0.00705295,0.0211589,0.00705295
61,12319,0.90244,1.25657,1.25563,0.9081,0.87919,0.9076,0.70336,0.86746,0.94374,1.34305,0.021009,0.007003,0.021009,0.007003,0.021009,0.007003,0.021009,0.007003
62,12520.3,0.89216,1.25307,1.24979,0.90173,0.88396,0.90844,0.70625,0.85657,0.95225,1.33865,0.0208591,0.00695305,0.0208591,0.00695305,0.0208591,0.00695305,0.0208591,0.00695305
63,12721.8,0.88999,1.25659,1.2522,0.8983,0.88378,0.90966,0.70926,0.86142,0.9398,1.34393,0.0207093,0.0069031,0.0207093,0.0069031,0.0207093,0.0069031,0.0207093,0.0069031
64,12923.2,0.90073,1.28645,1.25776,0.90426,0.87742,0.90904,0.71029,0.8686,0.95812,1.34027,0.0205594,0.00685315,0.0205594,0.00685315,0.0205594,0.00685315,0.0205594,0.00685315
65,13124.7,0.89679,1.2371,1.2582,0.91554,0.8844,0.91174,0.71454,0.8673,0.94024,1.33815,0.0204096,0.0068032,0.0204096,0.0068032,0.0204096,0.0068032,0.0204096,0.0068032
66,13326.1,0.89241,1.23539,1.2552,0.89726,0.88611,0.91236,0.71241,0.86636,0.93461,1.33281,0.0202597,0.00675325,0.0202597,0.00675325,0.0202597,0.00675325,0.0202597,0.00675325
67,13527.8,0.891,1.26133,1.24947,0.9083,0.8794,0.91166,0.71296,0.86483,0.93777,1.33412,0.0201099,0.0067033,0.0201099,0.0067033,0.0201099,0.0067033,0.0201099,0.0067033
68,13728.9,0.88248,1.22679,1.25093,0.90664,0.87952,0.91163,0.70815,0.87814,0.93884,1.33905,0.0199601,0.00665335,0.0199601,0.00665335,0.0199601,0.00665335,0.0199601,0.00665335
69,13930.1,0.89156,1.22816,1.24324,0.90887,0.88258,0.91361,0.71433,0.86458,0.93416,1.332,0.0198102,0.0066034,0.0198102,0.0066034,0.0198102,0.0066034,0.0198102,0.0066034
70,14131,0.89387,1.23117,1.24757,0.89799,0.89167,0.91206,0.71773,0.85794,0.92664,1.32886,0.0196604,0.00655345,0.0196604,0.00655345,0.0196604,0.00655345,0.0196604,0.00655345
71,14332.5,0.88591,1.23159,1.24106,0.91233,0.8836,0.91269,0.71891,0.8544,0.92536,1.32763,0.0195105,0.0065035,0.0195105,0.0065035,0.0195105,0.0065035,0.0195105,0.0065035
72,14533.4,0.88757,1.21261,1.25208,0.91574,0.88096,0.91468,0.72153,0.84763,0.9158,1.32686,0.0193607,0.00645355,0.0193607,0.00645355,0.0193607,0.00645355,0.0193607,0.00645355
73,14734.4,0.88027,1.19948,1.24832,0.9182,0.88537,0.91703,0.71977,0.85232,0.91015,1.32697,0.0192108,0.0064036,0.0192108,0.0064036,0.0192108,0.0064036,0.0192108,0.0064036
74,14935.3,0.89226,1.19902,1.25,0.91432,0.88811,0.91817,0.72234,0.84443,0.89152,1.32431,0.0190609,0.00635365,0.0190609,0.00635365,0.0190609,0.00635365,0.0190609,0.00635365
75,15136.2,0.87904,1.20331,1.23351,0.91657,0.89359,0.91958,0.7212,0.84491,0.89353,1.32426,0.0189111,0.0063037,0.0189111,0.0063037,0.0189111,0.0063037,0.0189111,0.0063037
76,15337.2,0.8831,1.18393,1.24922,0.91803,0.89083,0.91974,0.7235,0.84095,0.89156,1.3242,0.0187613,0.00625375,0.0187613,0.00625375,0.0187613,0.00625375,0.0187613,0.00625375
77,15538.6,0.88196,1.18754,1.24222,0.89839,0.89927,0.9173,0.72232,0.83742,0.89959,1.32548,0.0186114,0.0062038,0.0186114,0.0062038,0.0186114,0.0062038,0.0186114,0.0062038
78,15739.7,0.8913,1.22829,1.2579,0.91144,0.88571,0.91489,0.72261,0.8386,0.90005,1.32807,0.0184615,0.00615385,0.0184615,0.00615385,0.0184615,0.00615385,0.0184615,0.00615385
79,15940.8,0.86303,1.16606,1.23206,0.91738,0.88634,0.91701,0.72198,0.84406,0.89512,1.32951,0.0183117,0.0061039,0.0183117,0.0061039,0.0183117,0.0061039,0.0183117,0.0061039
